Vendor;Rat;Region;Province;tipo;BSC Name;BSC ID*;Cell Name;Cell ID*
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;PM13JG2;61944
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;PM13JG3;61945
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;PM34JG1;61001
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;PM34JG2;61002
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;PM58JG1;61966
HUAWEI;GSM;ungrouped;ungrouped;ungrouped;VAL90B09;242;PM58JG2;61967
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7001E1;45944
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7001E1;45944
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7001E2;45945
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7001E2;45945
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7001E3;45946
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7001E3;45946
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7001E4;45947
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7001E4;45947
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7002E1;43810
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7002E1;43810
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7002E2;43811
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7002E2;43811
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7002E3;43812
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7002E3;43812
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7003E1;43813
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7003E1;43813
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7003E2;43814
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7003E2;43814
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7004E1;43815
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7004E1;43815
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7004E2;43816
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7004E2;43816
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7005E1;43893
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7005E1;43893
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7005E2;43894
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7005E2;43894
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7005E3;43895
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7005E3;43895
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7006E1;43817
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7006E1;43817
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7006E2;43818
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7006E2;43818
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7006E3;43819
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7006E3;43819
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7007E1;43820
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7007E1;43820
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7007E2;43821
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7007E2;43821
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7007E3;43822
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7007E3;43822
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7008E1;43899
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7008E1;43899
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7008E2;43900
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7008E2;43900
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7008E3;43901
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7008E3;43901
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7009E1;43823
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7009E1;43823
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7009E2;43824
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7009E2;43824
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7009E3;43825
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7009E3;43825
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7010E1;43826
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7010E1;43826
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7010E2;43827
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7010E2;43827
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7010E3;43828
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7010E3;43828
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7011E1;43132
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7011E1;43132
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7011E2;43133
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7011E2;43133
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7011E3;43134
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7011E3;43134
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7011E4;43218
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7012E1;43829
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7012E1;43829
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7012E2;43830
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7012E2;43830
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7012E3;43831
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7012E3;43831
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7013E1;44100
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7013E1;44100
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7013E2;44101
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7013E2;44101
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7013E3;44102
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7013E3;44102
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7014E1;43832
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7014E1;43832
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7014E2;43833
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7014E2;43833
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7014E3;43834
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7014E3;43834
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7015E1;43835
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7015E1;43835
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7015E2;43836
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7015E2;43836
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7016E1;43837
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7016E1;43837
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7016E2;43838
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7016E2;43838
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;185;X7016E3;43839
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7016E3;43839
HUAWEI;GSM;Zona CENTRO;ALBACETE;ZR;BSC117;59;X7017E1;44103
