TKeys
AVERAGE_DL_USER_THROUGHPUT_5G_num
AVERAGE_DL_USER_THROUGHPUT_5G_score
AVERAGE_UL_USER_THROUGHPUT_5G_num
AVERAGE_UL_USER_THROUGHPUT_5G_score
AVERAGE_DL_CELL_THROUGHPUT_5G_num
AVERAGE_DL_CELL_THROUGHPUT_5G_score
AVERAGE_UL_CELL_THROUGHPUT_5G_num
AVERAGE_UL_CELL_THROUGHPUT_5G_score
AVERAGE_PRB_LOAD_DL_5G_num
AVERAGE_PRB_LOAD_DL_5G_score
AVG_DL_MIMO_LAYERS_5G_num
AVG_DL_MIMO_LAYERS_5G_score
KPIS_GENERALES_num
KPIS_GENERALES_score
CONG_PDCCH_CCE_4G_num
CONG_PDCCH_CCE_4G_score
PDCCH_3SYMB_4G_num
PDCCH_3SYMB_4G_score
CONG_PDSCH_4G_num
CONG_PDSCH_4G_score
CAPACIDAD_num
CAPACIDAD_score
RSSI_3G_num
RSSI_3G_score
INTERF_IE_PIM_4G_num
INTERF_IE_PIM_4G_score
INTERF_TRAFICO_4G_num
INTERF_TRAFICO_4G_score
UL_INTERFERENCE_5G_num
UL_INTERFERENCE_5G_score
INTERFERENCIA_UL_num
INTERFERENCIA_UL_score
ERAB_QCI1_4G_num
ERAB_QCI1_4G_score
ERAB_QCI5_4G_num
ERAB_QCI5_4G_score
VOLTE_DCR_4G_num
VOLTE_DCR_4G_score
VOLTE_SRVCC_4G_num
VOLTE_SRVCC_4G_score
VOLTE_INTRAFREQHO_4G_num
VOLTE_INTRAFREQHO_4G_score
VOLTE_INTERFREQHO_4G_num
VOLTE_INTERFREQHO_4G_score
VOLTE_PL_4G_num
VOLTE_PL_4G_score
DCR_VOLTE_CEM_num
DCR_VOLTE_CEM_score
VOLTE_num
VOLTE_score
MOS_4G_num
MOS_4G_score
MOS_num
MOS_score
DCR_VOZ_DUAL_num
DCR_VOZ_DUAL_score
DCR_DUAL_4G3G_num
DCR_DUAL_4G3G_score
total_score_KPIs
final_score
